Designator,Quantity,Manufacturer,PartNumber,PackageReference,Description,Mounting Technology,Layer
"R43","1","KOA Speer","RK73H1ETTP2700F","0402","270R 0.063W 1% 0402 (1005 Metric)","Surface Mount","Top"
"R44","1","KOA Speer","RK73H1ETTP1500F","0402","150R 0.063W 1% 0402 (1005 Metric)","Surface Mount","Top"
"SW1, SW2","2","C&K Components","PTS810 SJM 250 SMTR LFS","PTS810","Switch, SPNO Push Button SMD","Surface Mount","Bottom"
"T1","1","TDK","HHM1595A1","0805","","Surface Mount","Top"
"U1","1","NXP","MCIMX6X3EVO10AB","BGA-400","IC MPU I.MX6SX 1GHZ 400MAPBGA","Surface Mount","Top"
"U2, U3","2","Micron Technology","MT41K256M16TW-107","BGA-96","IC SDRAM 4GBIT 933MHZ 96FBGA","Surface Mount","Top, Bottom"
"U4","1","Texas Instruments","TPS3808G12DRVR","WSON-6","","Surface Mount","Bottom"
"U5","1","Toshiba Memory America, Inc.","TC58CVG2S0HRAIG","WSON-8","IC FLASH 4G SPI 104MHZ 8WSON","Surface Mount","Top"
"U6","1","Texas Instruments","TPS62291DRVR","WSON-6","Voltage Regulators - Switching Regulators 2.25MHz 1A Step-Down Cnvrtr 3.3V Output","Surface Mount","Bottom"
"U7","1","Linear Technology","LTC3407EDD-3","SON-10","","Surface Mount","Bottom"
"U8","1","Texas Instruments","TPS62130RGT","QFN-16","","Surface Mount","Top"
"U9","1","Murata","LBWA1KL1FX-875","Module","WI-FI-B/G/N NETWORK CONTROLLER","Surface Mount","Top"
"U10","1","FTDI","FT234XD-R","DFN-12","USB Interface IC USB to Serial UART Interface","Surface Mount","Top"
"U11","1","Microchip","USB2422/MJ","QFN-24","USB Hub IC 2-Port","Surface Mount","Top"
"U12","1","Decawave Limited","DW1000-I-TR13","QFN-48","UWB DW1000","Surface Mount","Top"
"U13","1","Texas Instruments","TPS2115ADRBR","VSON-8","Power Switch ICs - Power Distribution Autoswitching Pwr Mux","Surface Mount","Bottom"
"U14","1","Melexis","MLX75123RLA-BAG-000-RE","AQFN-84","Sensor Interface ToF Companion Chip","Surface Mount","Top"
"U15","1","Invensense","MPU-9250","QFN-24","","Surface Mount","Top"
"U16","1","TE Connectivity Measurement Specialties","MS561101BA03-50","8-SMD","BAROMETRIC PRESSURE SENSOR","Surface Mount","Bottom"
"U17, U18","2","STMicroelectronics","VL53L0CXV0DH/1","LGA-12","Optical Sensor Modules Time-of-Flight (ToF) ranging sensor","Surface Mount","Top, Bottom"
"U19","1","Texas Instruments","TMP102AIDRLT","SOT-563","SENSOR DIGITAL -40C-125C SOT563","Surface Mount","Bottom"
"U20","1","Texas Instruments","TPS62232DRYR","USON-6","Switching Voltage Regulators 3 MHz Ultra Small Step Down Converter","Surface Mount","Bottom"
"U21","1","Toshiba Semiconductor","TC358748XBG(EL)","BGA-80","IC MIPI CSI2 TO PARALLEL 80VFBGA","Surface Mount","Bottom"
"U22","1","Texas Instruments","TPS61235PRWLR","VQFN-9","","Surface Mount","Bottom"
"U23","1","Texas Instruments","TPS6209718RWKT","VQFN-11","TPS62097 2-A High Efficiency Step-Down Converter with iDCS Control, Forced PWM Mode and Selective Switching Frequency","Surface Mount","Top"
"Y1, Y3","2","EPSON","FA-128 24.0000MF10Z-W3","4-SMD","","Surface Mount","Bottom, Top"
"Y2","1","Abracon","ABS06-32.768KHZ-9-1-T","4-SMD","","Surface Mount","Bottom"
"Y4","1","AVX","KC2016K80.0000C1GE00","SMD-4","OSC XO 80.0000MHZ CMOS SMD","Surface Mount","Top"
"Y5","1","ABRACON","ABM10-165-38.400MHZ-T3","4-SMD","","Surface Mount","Top"
"Y6","1","Kyocera","KC2016K32.0000C1GE00","SMD-4","OSC XO 32.0000MHZ CMOS SMD","Surface Mount","Bottom"
